Nome;Modelo;Valor c desc;Valor s desc;Porcentagem desc;Avaliacao; 
Camiseta Nike Essential Masculina;Basquete;R$ 237,49 no Pix;R$ 249,99;5% off;4.3;
Camiseta Nike Liverpool Club Essential Masculina;Futebol;R$ 189,99 no Pix;R$ 199,99;5% off;5.0;
Camiseta Nike Dri-FIT Masculina;Treino & Academia;R$ 208,99 no Pix;R$ 329,99;37% off;;
Camiseta Nike Sportswear Tech Pack Masculina;Casual;R$ 313,49 no Pix;R$ 479,99;35% off;5.0;
Camiseta Nike Dri-FIT LeBron Masculina;Basquete;R$ 142,49 no Pix;R$ 249,99;43% off;5.0;
Camiseta Nike Dri-FIT ADV Masculina;Treino & Academia;R$ 341,99 no Pix;R$ 449,99;24% off;4.3;
Shorts Nike Club Woven Masculino;Casual;R$ 360,99 no Pix;R$ 379,99;5% off;;
Camiseta Nike Max90 Masculina;Basquete;R$ 332,49 no Pix;R$ 349,99;5% off;;
Nike x Nocta;Casual;R$ 999,99;4.0;Disponível em SNKRS;;
Shorts Nike Swoosh Masculino;Natação & Praia;R$ 389,49 no Pix;R$ 409,99;5% off;;
Camiseta Nike ACG NRG Masculina;Casual;R$ 332,49 no Pix;R$ 349,99;5% off;;
Shorts Nike Solid Icon Masculino;Natação & Praia;R$ 265,99 no Pix;R$ 449,99;41% off;;
Shorts Nike Sneaker Lap Masculino;Natação & Praia;R$ 265,99 no Pix;R$ 279,99;5% off;;
Shorts Nike Sneaker Lap Masculino;Natação & Praia;R$ 389,49 no Pix;R$ 409,99;5% off;;
Nike x NOCTA;Casual;R$ 664,99 no Pix;R$ 699,99;5% off;;
Jaqueta Nike Sportswear Corinthians Masculina;Futebol;R$ 569,99 no Pix;R$ 599,99;5% off;;
Jaqueta Nike JA Masculina;Basquete;R$ 664,99 no Pix;R$ 699,99;5% off;;
Camiseta Nike ACG Tidalpool Masculina;Casual;R$ 218,49 no Pix;R$ 329,99;34% off;;
Camiseta Nike ACG Tidalpool Masculina;Casual;R$ 218,49 no Pix;R$ 329,99;34% off;;
Camiseta Nike Club Masculina;Casual;R$ 218,49 no Pix;R$ 229,99;5% off;3.9;
Camiseta Nike Milwaukee Bucks City Edition Masculina;Basquete;R$ 189,99 no Pix;R$ 229,99;17% off;5.0;
Calça Nike Club Fleece Bungie Masculina;Casual;R$ 427,49 no Pix;R$ 449,99;5% off;;
Camiseta Nike ACG NRG Masculina;Casual;R$ 332,49 no Pix;R$ 349,99;5% off;;
Nike x Nocta Tech Fleece Pant;Casual;R$ 854,99 no Pix;R$ 899,99;5% off;;
Shorts Nike Solid Icon Masculino;Natação & Praia;R$ 265,99 no Pix;R$ 449,99;41% off;;
Shorts Nike Sneaker Lap Masculino;Natação & Praia;R$ 265,99 no Pix;R$ 279,99;5% off;;
Shorts Nike Sneaker Lap Masculino;Natação & Praia;R$ 389,49 no Pix;R$ 409,99;5% off;;
Shorts Nike Sneaker Lap Masculino;Natação & Praia;R$ 389,49 no Pix;R$ 409,99;5% off;;
Jaqueta Nike Sportswear Corinthians Masculina;Futebol;R$ 569,99 no Pix;R$ 599,99;5% off;;
Shorts Nike Club Woven Masculino;Casual;R$ 360,99 no Pix;R$ 379,99;5% off;;
Shorts Nike Tech Fleece Masculino;Casual;R$ 550,99 no Pix;R$ 649,99;15% off;;
Nike x Off-White™;Casual;R$ 1139,99 no Pix;R$ 1.199,99;5% off;;
Camiseta Nike Liverpool Club Essential Masculina;Futebol;R$ 189,99 no Pix;R$ 199,99;5% off;5.0;
Camiseta Nike Max90 Masculina;Basquete;R$ 332,49 no Pix;R$ 349,99;5% off;;
Camiseta Nike Sportswear Tech Pack Masculina;Casual;R$ 313,49 no Pix;R$ 479,99;35% off;5.0;
Camiseta Nike Dri-FIT LeBron Masculina;Basquete;R$ 142,49 no Pix;R$ 249,99;43% off;5.0;
Camiseta Nike Dri-FIT ADV Masculina;Treino & Academia;R$ 341,99 no Pix;R$ 449,99;24% off;4.3;
Camiseta Nike Dri-FIT Running Division Masculina;Corrida;R$ 170,99 no Pix;R$ 199,99;15% off;;
Camisa Nike Liverpool I 2022/23 Jogador Masculina;Futebol;R$ 569,99 no Pix;R$ 599,99;5% off;3.0;
Camiseta Nike Dri-FIT UV Run Division Miler Masculina;Corrida;R$ 132,99 no Pix;R$ 199,99;34% off;5.0;
Calça Nike Club Fleece Masculina;Casual;R$ 313,49 no Pix;R$ 329,99;5% off;4.1;
Camiseta Nike Club Masculina;Casual;R$ 218,49 no Pix;R$ 229,99;5% off;3.9;
Camiseta Nike Sportswear Masculina;Casual;R$ 189,99 no Pix;R$ 199,99;5% off;5.0;
Camiseta Nike Brooklyn Nets Masculina;Basquete;R$ 170,99 no Pix;R$ 229,99;26% off;3.0;
Calça Nike Solo Swoosh Fleece Masculina;Casual;R$ 436,99 no Pix;R$ 549,99;21% off;5.0;
Calça Nike Solo Swoosh Fleece Masculina;Casual;R$ 522,49 no Pix;R$ 549,99;5% off;5.0;
Jaqueta Nike Masculina;Casual;R$ 332,49 no Pix;R$ 349,99;5% off;4.9;
Camisa Nike Liverpool I 2022/23 Jogador Masculina;Futebol;R$ 569,99 no Pix;R$ 599,99;5% off;3.0;
Camiseta Nike Dri-FIT UV Run Division Miler Masculina;Corrida;R$ 132,99 no Pix;R$ 199,99;34% off;5.0;
Camiseta Nike Court Dri-FIT Slam Masculina;Para Jogar Tênis;R$ 294,49 no Pix;R$ 549,99;46% off;;
Nike x MMW;Casual;R$ 379,99 no Pix;R$ 399,99;5% off;;
Camiseta Nike Masculina;Basquete;R$ 180,49 no Pix;R$ 279,99;36% off;5.0;
Shorts Nike Tech Fleece Masculino;Casual;R$ 550,99 no Pix;R$ 649,99;15% off;;
Shorts Jordan Essentials Masculino;Casual;R$ 313,49 no Pix;R$ 329,99;5% off;4.9;
Nike x Off-White™;Casual;R$ 712,49 no Pix;R$ 749,99;5% off;;
Jaqueta Nike Therma-FIT Puffer Masculina;Casual;R$ 797,99 no Pix;R$ 849,99;6% off;5.0;
Blusão Nike Sportswear Tech Fleece Masculino;Casual;R$ 645,99 no Pix;R$ 799,99;19% off;5.0;
Blusão Nike Track Club Fleece Masculino;Corrida;R$ 332,49 no Pix;R$ 499,99;34% off;;
Blusão Nike Solo Swoosh Fleece Masculina;Casual;R$ 427,49 no Pix;R$ 599,99;29% off;;
Nike x Stüssy Acid-Washed Fleece Pants;R$ 636,49 no Pix;R$ 699,99;9% off;;;
Camiseta Nike Dri-FIT Masculina;Corrida;R$ 170,99 no Pix;R$ 229,99;26% off;;
